-,-,CO2 (lbs/MWh),CO2 (lbs/MWh),CO2 (lbs/MWh),CO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh)
-,Hour,Min,Average,Max,Standard Deviation,Min,Average,Max,Standard Deviation,Min,Average,Max,Standard Deviation
July,8,757,844,993,46.9,1.12,1.31,1.48,0.09,1.36,1.53,1.75,0.09
July,9,724,810,936,40.5,1.06,1.24,1.38,0.08,1.29,1.46,1.66,0.08
July,10,704,789,911,37.7,1.03,1.19,1.34,0.08,1.25,1.41,1.62,0.08
July,11,698,779,884,34.5,0.99,1.16,1.31,0.08,1.21,1.37,1.58,0.08
July,12,694,771,874,32.1,0.96,1.14,1.27,0.08,1.19,1.35,1.53,0.07
July,13,696,768,864,34.9,0.96,1.13,1.25,0.07,1.19,1.34,1.50,0.07
July,14,694,765,853,35.7,0.96,1.13,1.25,0.07,1.19,1.34,1.48,0.07
July,15,692,765,843,33.7,0.96,1.13,1.25,0.07,1.19,1.34,1.47,0.07
July,16,701,767,839,33.0,0.97,1.13,1.25,0.07,1.22,1.34,1.47,0.06
July,17,704,766,823,33.1,0.97,1.12,1.26,0.07,1.23,1.34,1.47,0.06
July,18,711,770,827,31.6,1.00,1.12,1.24,0.06,1.22,1.34,1.46,0.06
July,19,717,779,837,32.1,1.01,1.14,1.25,0.06,1.23,1.36,1.48,0.06
July,20,721,788,847,33.0,1.02,1.16,1.28,0.06,1.27,1.38,1.50,0.06
July,21,734,794,848,31.6,1.02,1.17,1.31,0.07,1.27,1.40,1.54,0.07
July,22,732,800,855,32.5,1.06,1.20,1.34,0.07,1.29,1.42,1.55,0.07
July,23,758,829,904,36.1,1.14,1.29,1.44,0.07,1.37,1.50,1.67,0.07
July,24,800,878,945,35.8,1.23,1.39,1.54,0.07,1.46,1.61,1.77,0.07
August,Monthly Average,766,931,"1,216",113.8,0.86,1.31,1.91,0.22,1.21,1.59,2.19,0.23
August,1,956,"1,060","1,141",52.3,1.23,1.54,1.73,0.14,1.61,1.85,2.03,0.12
August,2,994,"1,099","1,180",53.7,1.24,1.60,1.79,0.14,1.68,1.92,2.10,0.12
August,3,974,"1,122","1,211",60.1,1.30,1.64,1.89,0.15,1.65,1.96,2.18,0.13
August,4,990,"1,126","1,216",56.2,1.33,1.65,1.90,0.14,1.68,1.98,2.19,0.12
August,5,969,"1,104","1,208",54.8,1.27,1.62,1.91,0.14,1.69,1.94,2.19,0.11
August,6,936,"1,052","1,153",57.1,1.16,1.53,1.83,0.15,1.61,1.84,2.11,0.11
August,7,875,981,"1,099",55.8,1.06,1.41,1.73,0.14,1.48,1.70,1.96,0.11
August,8,832,928,"1,030",52.3,0.98,1.32,1.60,0.13,1.39,1.59,1.82,0.11
August,9,809,889,970,42.7,0.96,1.24,1.44,0.10,1.34,1.51,1.67,0.08
August,10,804,866,933,36.6,0.90,1.20,1.36,0.10,1.29,1.46,1.61,0.07
August,11,791,854,925,36.4,0.90,1.17,1.35,0.10,1.27,1.43,1.59,0.07
August,12,784,847,913,35.9,0.88,1.16,1.29,0.10,1.22,1.42,1.55,0.07
August,13,786,843,913,36.7,0.87,1.15,1.26,0.10,1.22,1.40,1.52,0.07
August,14,768,836,913,38.7,0.86,1.14,1.27,0.10,1.21,1.39,1.53,0.08
August,15,768,834,915,39.8,0.86,1.14,1.31,0.10,1.23,1.39,1.54,0.08
August,16,770,837,914,37.7,0.86,1.14,1.32,0.10,1.23,1.40,1.53,0.07
August,17,766,837,915,36.5,0.87,1.14,1.30,0.10,1.23,1.40,1.52,0.08
August,18,774,837,909,33.9,0.91,1.14,1.30,0.10,1.23,1.39,1.52,0.08
August,19,772,848,905,32.4,0.93,1.15,1.32,0.10,1.25,1.42,1.54,0.08
August,20,786,859,918,31.4,0.95,1.18,1.35,0.10,1.28,1.44,1.57,0.07
August,21,782,855,923,30.9,0.95,1.18,1.30,0.10,1.29,1.44,1.56,0.07
August,22,795,877,927,31.5,0.98,1.23,1.38,0.10,1.32,1.50,1.62,0.07
